Week,Phase,EmissionRate,LPPercent,SinglePercent,VictoryPercent,DevPercent,LPEmission,SingleEmission,VictoryEmission,DevEmission,TotalEmission
37,2,3965628,5500,200,4050,250,2181095,79312,1606079,99140,3965626
38,2,3925971,5500,200,4050,250,2159284,78519,1590018,98149,3925970
39,2,3886711,5500,200,4050,250,2137691,77734,1574117,97167,3886709
40,2,3847843,5500,200,4050,250,2116313,76956,1558376,96196,3847841
41,2,3809364,5500,200,4050,250,2095150,76187,1542792,95234,3809363
42,2,3771270,5500,200,4050,250,2074198,75425,1527364,94281,3771268
43,2,3733557,5500,200,4050,250,2053456,74671,1512090,93338,3733555
44,2,3696221,5500,200,4050,250,2032921,73924,1496969,92405,3696219
45,2,3659258,5500,200,4050,250,2012591,73185,1481999,91481,3659256
46,2,3622665,5500,200,4050,250,1992465,72453,1467179,90566,3622663
47,2,3586438,5500,200,4050,250,1972540,71728,1452507,89660,3586435
48,2,3550573,5500,200,4050,250,1952815,71011,1437982,88764,3550572
49,2,3515067,5500,200,4050,250,1933286,70301,1423602,87876,3515065
50,2,3479916,5500,200,4050,250,1913953,69598,1409365,86997,3479913
51,2,3445116,5500,200,4050,250,1894813,68902,1395271,86127,3445113
52,2,3410664,5500,200,4050,250,1875865,68213,1381318,85266,3410662
53,2,3376557,5000,0,4750,250,1688278,0,1603864,84413,3376555
54,2,3342791,5000,0,4750,250,1671395,0,1587825,83569,3342789
55,2,3309363,5000,0,4750,250,1654681,0,1571947,82734,3309362
56,2,3276269,5000,0,4750,250,1638134,0,1556227,81906,3276267
57,2,3243506,5000,0,4750,250,1621753,0,1540665,81087,3243505
58,2,3211070,5000,0,4750,250,1605535,0,1525258,80276,3211069
59,2,3178959,5000,0,4750,250,1589479,0,1510005,79473,3178957
60,2,3147169,5000,0,4750,250,1573584,0,1494905,78679,3147168
61,2,3115697,5000,0,4750,250,1557848,0,1479956,77892,3115696
62,2,3084540,5000,0,4750,250,1542270,0,1465156,77113,3084539
63,2,3053694,5000,0,4750,250,1526847,0,1450504,76342,3053693
64,2,3023157,5000,0,4750,250,1511578,0,1435999,75578,3023155
65,2,2992925,5000,0,4750,250,1496462,0,1421639,74823,2992924
66,2,2962995,5000,0,4750,250,1481497,0,1407422,74074,2962993
67,2,2933365,5000,0,4750,250,1466682,0,1393348,73334,2933364
68,2,2904031,5000,0,4750,250,1452015,0,1379414,72600,2904029
69,2,2874990,5000,0,4750,250,1437495,0,1365620,71874,2874989
70,2,2846240,5000,0,4750,250,1423120,0,1351964,71156,2846240
71,2,2817777,5000,0,4750,250,1408888,0,1338444,70444,2817776
72,2,2789599,5000,0,4750,250,1394799,0,1325059,69739,2789597
73,2,2761703,5000,0,4750,250,1380851,0,1311808,69042,2761701
74,2,2734085,5000,0,4750,250,1367042,0,1298690,68352,2734084
75,2,2706744,5000,0,4750,250,1353372,0,1285703,67668,2706743
76,2,2679676,5000,0,4750,250,1339838,0,1272846,66991,2679675
77,2,2652879,5000,0,4750,250,1326439,0,1260117,66321,2652877
78,2,2626350,5000,0,4750,250,1313175,0,1247516,65658,2626349
79,2,2600086,5000,0,4750,250,1300043,0,1235040,65002,2600085
80,2,2574085,5000,0,4750,250,1287042,0,1222690,64352,2574084
81,2,2548344,5000,0,4750,250,1274172,0,1210463,63708,2548343
82,2,2522860,5000,0,4750,250,1261430,0,1198358,63071,2522859
83,2,2497631,5000,0,4750,250,1248815,0,1186374,62440,2497629
84,2,2472654,5000,0,4750,250,1236327,0,1174510,61816,2472653
85,2,2447927,5000,0,4750,250,1223963,0,1162765,61198,2447926
86,2,2423447,5000,0,4750,250,1211723,0,1151137,60586,2423446
87,2,2399212,5000,0,4750,250,1199606,0,1139625,59980,2399211
88,2,2375219,5000,0,4750,250,1187609,0,1128229,59380,2375218
89,2,2351466,5000,0,4750,250,1175733,0,1116946,58786,2351465
90,2,2327951,5000,0,4750,250,1163975,0,1105776,58198,2327949
91,2,2304671,5000,0,4750,250,1152335,0,1094718,57616,2304669
92,2,2281624,5000,0,4750,250,1140812,0,1083771,57040,2281623
93,2,2258807,5000,0,4750,250,1129403,0,1072933,56470,2258806
94,2,2236218,5000,0,4750,250,1118109,0,1062203,55905,2236217
95,2,2213855,5000,0,4750,250,1106927,0,1051581,55346,2213854
96,2,2191716,5000,0,4750,250,1095858,0,1041065,54792,2191715
97,2,2169798,5000,0,4750,250,1084899,0,1030654,54244,2169797
98,2,2148100,5000,0,4750,250,1074050,0,1020347,53702,2148099
99,2,2126619,5000,0,4750,250,1063309,0,1010144,53165,2126618
100,2,2105352,5000,0,4750,250,1052676,0,1000042,52633,2105351
101,2,2084298,5000,0,4750,250,1042149,0,990041,52107,2084297
102,2,2063455,5000,0,4750,250,1031727,0,980141,51586,2063454
103,2,2042820,5000,0,4750,250,1021410,0,970339,51070,2042819
104,2,2022391,5000,0,4750,250,1011195,0,960635,50559,2022389
105,2,2002167,4500,0,5250,250,900975,0,1051137,50054,2002166
106,2,1982145,4500,0,5250,250,891965,0,1040626,49553,1982144
107,2,1962323,4500,0,5250,250,883045,0,1030219,49058,1962322
108,2,1942699,4500,0,5250,250,874214,0,1019916,48567,1942697
109,2,1923272,4500,0,5250,250,865472,0,1009717,48081,1923270
110,2,1904039,4500,0,5250,250,856817,0,999620,47600,1904037
111,2,1884998,4500,0,5250,250,848249,0,989623,47124,1884996
112,2,1866148,4500,0,5250,250,839766,0,979727,46653,1866146
113,2,1847486,4500,0,5250,250,831368,0,969930,46187,1847485
114,2,1829011,4500,0,5250,250,823054,0,960230,45725,1829009
115,2,1810720,4500,0,5250,250,814824,0,950628,45268,1810720
116,2,1792612,4500,0,5250,250,806675,0,941121,44815,1792611
117,2,1774685,4500,0,5250,250,798608,0,931709,44367,1774684
118,2,1756938,4500,0,5250,250,790622,0,922392,43923,1756937
119,2,1739368,4500,0,5250,250,782715,0,913168,43484,1739367
120,2,1721974,4500,0,5250,250,774888,0,904036,43049,1721973
121,2,1704754,4500,0,5250,250,767139,0,894995,42618,1704752
122,2,1687706,4500,0,5250,250,759467,0,886045,42192,1687704
123,2,1670828,4500,0,5250,250,751872,0,877184,41770,1670826
124,2,1654119,4500,0,5250,250,744353,0,868412,41352,1654117
125,2,1637577,4500,0,5250,250,736909,0,859727,40939,1637575
126,2,1621201,4500,0,5250,250,729540,0,851130,40530,1621200
127,2,1604988,4500,0,5250,250,722244,0,842618,40124,1604986
128,2,1588938,4500,0,5250,250,715022,0,834192,39723,1588937
129,2,1573048,4500,0,5250,250,707871,0,825850,39326,1573047
130,2,1557317,4500,0,5250,250,700792,0,817591,38932,1557315
131,2,1541743,4500,0,5250,250,693784,0,809415,38543,1541742
132,2,1526325,4500,0,5250,250,686846,0,801320,38158,1526324
133,2,1511061,4500,0,5250,250,679977,0,793307,37776,1511060
134,2,1495950,4500,0,5250,250,673177,0,785373,37398,1495948
135,2,1480990,4500,0,5250,250,666445,0,777519,37024,1480988
136,2,1466180,4500,0,5250,250,659781,0,769744,36654,1466179
137,2,1451518,4500,0,5250,250,653183,0,762046,36287,1451516
138,2,1437002,4500,0,5250,250,646650,0,754426,35925,1437001
139,2,1422631,4500,0,5250,250,640183,0,746881,35565,1422629
140,2,1408404,4500,0,5250,250,633781,0,739412,35210,1408403
141,2,1394319,4500,0,5250,250,627443,0,732017,34857,1394317
142,2,1380375,4500,0,5250,250,621168,0,724696,34509,1380373
143,2,1366571,4500,0,5250,250,614956,0,717449,34164,1366569
144,2,1352905,4500,0,5250,250,608807,0,710275,33822,1352904
145,2,1339375,4500,0,5250,250,602718,0,703171,33484,1339373
146,2,1325981,4500,0,5250,250,596691,0,696140,33149,1325980
147,2,1312721,4500,0,5250,250,590724,0,689178,32818,1312720
148,2,1299593,4500,0,5250,250,584816,0,682286,32489,1299591
149,2,1286597,4500,0,5250,250,578968,0,675463,32164,1286595
150,2,1273731,4500,0,5250,250,573178,0,668708,31843,1273729
151,2,1260993,4500,0,5250,250,567446,0,662021,31524,1260991
152,2,1248383,4500,0,5250,250,561772,0,655401,31209,1248382
153,2,1235899,4500,0,5250,250,556154,0,648846,30897,1235897
154,2,1223540,4500,0,5250,250,550593,0,642358,30588,1223539
155,2,1211304,4500,0,5250,250,545086,0,635934,30282,1211302
156,2,1199190,4500,0,5250,250,539635,0,629574,29979,1199188
